experiment_version,start_time,completion_status,completion_time,terminated_early,termination_reason,total_duration_ms,total_duration_min,datapipe_condition,cell_idx,speaker_condition,listener_belief_condition,sequence_idx,measure_order,comp1_some_correct,comp1_some_response,comp1_most_correct,comp1_most_response,comp2_correct,comp_multi_correct,comp_multi_selected,comp3_correct,comp3_selected,n_comp_correct,r1_utterance_predicate,r1_utterance_quantifier,r1_utterance_text,r1_effectiveness,r1_speaker_type,r1_rt,r2_utterance_predicate,r2_utterance_quantifier,r2_utterance_text,r2_effectiveness,r2_speaker_type,r2_rt,r3_utterance_predicate,r3_utterance_quantifier,r3_utterance_text,r3_effectiveness,r3_speaker_type,r3_rt,r4_utterance_predicate,r4_utterance_quantifier,r4_utterance_text,r4_effectiveness,r4_speaker_type,r4_rt,r5_utterance_predicate,r5_utterance_quantifier,r5_utterance_text,r5_effectiveness,r5_speaker_type,r5_rt,n_rounds_completed,completed_all_rounds,attention_check_passed,attention_effectiveness,attention_speaker_type,competence_score,competence_framing,saw_persuasive_reveal,open_speaker_strategy,open_estimation_strategy,open_feedback
1.0.0,2026-02-01T09:41:04.510Z,completed,2026-02-01T09:48:29.375Z,False,,444842,7.414033333333333,,,pers_minus,vigilant,1.0,speaker_type_first,False,At least one but must not be all.,False,More than 75% and could be all.,True,False,"[""all""]",False,"[3,0,2]",1,Ineffective,Most,The treatment was ineffective for most patients.,20.0,anti,,Ineffective,Some,The treatment was ineffective for some patients.,20.0,neutral,,Effective,Some,The treatment was effective for some patients.,30.0,neutral,,Ineffective,Some,The treatment was ineffective for some patients.,25.0,neutral,,Effective,Some,The treatment was effective for some patients.,30.0,neutral,,5,True,True,100.0,anti,50.0,goal_pursuit_effectiveness,True,It was based on the wording they used,,
1.0.0,2026-02-01T18:15:21.006Z,completed,2026-02-01T18:21:53.270Z,False,,392252,6.537533333333333,,,informative,vigilant,0.0,speaker_type_first,False,At least one but must not be all.,True,More than half and could be all.,True,True,"[""all"",""some""]",True,"[2,0]",4,Effective,Most,The treatment was effective for most patients.,55.0,pro,,Ineffective,No,The treatment was ineffective for no patients.,100.0,neutral,,Effective,All,The treatment was effective for all patients.,100.0,neutral,,Ineffective,No,The treatment was ineffective for no patients.,100.0,neutral,,Effective,All,The treatment was effective for all patients.,100.0,neutral,,5,True,True,100.0,anti,100.0,goal_pursuit_effectiveness,False,"I wouldn't say I decided, but I assumed. If the treatments were described as effective for all or not effective for anyone I assumed it was a Scientist.",,
1.0.0,2026-02-01T19:29:49.580Z,completed,2026-02-01T19:38:07.236Z,False,,497649,8.29415,,,pers_plus,naturalistic,0.0,effectiveness_first,True,At least one and could be all.,False,More than 75% but must not be all.,True,True,"[""all"",""some""]",False,"[2,3,0]",3,Effective,Some,The treatment was effective for some patients.,60.0,,,Effective,Some,The treatment was effective for some patients.,80.0,,,Ineffective,Some,The treatment was ineffective for some patients.,40.0,,,Effective,Some,The treatment was effective for some patients.,60.0,,,Effective,Some,The treatment was effective for some patients.,80.0,,,5,True,True,100.0,,24.0,helpfulness,False,,"Each one used the ""most"" word, so I just estimated a percentage in 20% increments",
1.0.0,2026-02-01T17:59:59.893Z,completed,2026-02-01T18:09:54.860Z,False,,594962,9.916033333333333,,,pers_minus,vigilant,1.0,speaker_type_first,True,At least one and could be all.,False,More than 75% but must not be all.,True,True,"[""all"",""some""]",True,"[0,2]",4,Ineffective,Most,The treatment was ineffective for most patients.,30.0,anti,,Ineffective,Some,The treatment was ineffective for some patients.,60.0,pro,,Effective,Some,The treatment was effective for some patients.,60.0,pro,,Ineffective,Some,The treatment was ineffective for some patients.,40.0,anti,,Effective,Some,The treatment was effective for some patients.,60.0,neutral,,5,True,True,100.0,anti,40.0,goal_pursuit_effectiveness,True,I put a positive spin on the term some as fact from the scientist,,
1.0.0,2026-02-01T11:14:11.392Z,completed,2026-02-01T11:30:05.714Z,False,,954312,15.9052,,,informative,naturalistic,0.0,speaker_type_first,True,At least one and could be all.,True,More than half and could be all.,True,False,"[""ineff_some"",""some""]",True,"[0,2]",4,Effective,Most,The treatment was effective for most patients.,80.0,,,Ineffective,No,The treatment was ineffective for no patients.,100.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,Ineffective,No,The treatment was ineffective for no patients.,100.0,,,Effective,All,The treatment was effective for all patients.,80.0,,,5,True,True,100.0,,88.0,helpfulness,False,,Because his description gave me information about how many patients the treatment worked for. I used the words like some most or all to narrow down how effective the treatment could be.,The survey was easier to understand. no issues.
1.0.0,2026-02-01T07:33:22.568Z,completed,2026-02-01T07:45:06.887Z,False,,704289,11.73815,,,informative,credulous,0.0,speaker_type_first,True,At least one and could be all.,True,More than half and could be all.,True,False,"[""all""]",True,"[0,2]",4,Effective,Most,The treatment was effective for most patients.,75.0,,,Ineffective,No,The treatment was ineffective for no patients.,0.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,Ineffective,No,The treatment was ineffective for no patients.,0.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,5,True,True,100.0,,100.0,helpfulness,False,,,
1.0.0,2026-02-01T02:30:39.665Z,completed,2026-02-01T02:53:39.150Z,False,,1379478,22.9913,,,pers_minus,vigilant,1.0,effectiveness_first,True,At least one and could be all.,True,More than half and could be all.,True,False,"[""all""]",True,"[0,2]",4,Ineffective,Most,The treatment was ineffective for most patients.,20.0,anti,,Ineffective,Some,The treatment was ineffective for some patients.,75.0,neutral,,Effective,Some,The treatment was effective for some patients.,25.0,anti,,Ineffective,Some,The treatment was ineffective for some patients.,80.0,pro,,Effective,Some,The treatment was effective for some patients.,20.0,anti,,5,True,True,100.0,anti,70.0,goal_pursuit_effectiveness,True,"In the end I figured that the language they were using seemed to me to lean towards negativity rather being neutral or overly positive. Like instead of saying that the treatment was effective for most, they would say it was ineffective some. ",,"Everything was clear and precise, thanks!"
1.0.0,2026-02-01T18:31:51.480Z,completed,2026-02-01T18:40:25.498Z,False,,514002,8.5667,,,informative,naturalistic,0.0,effectiveness_first,False,At least one but must not be all.,True,More than half and could be all.,False,True,"[""all"",""some""]",True,"[0,2]",3,Effective,Most,The treatment was effective for most patients.,75.0,,,Ineffective,No,The treatment was ineffective for no patients.,0.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,Ineffective,No,The treatment was ineffective for no patients.,100.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,5,True,True,100.0,,95.0,helpfulness,False,,I made sure to read the speakers descriptions very carefully and answered based my answer on that.,no
1.0.0,2026-02-01T04:54:42.506Z,completed,2026-02-01T05:01:17.476Z,False,,394961,6.582683333333334,,,informative,naturalistic,0.0,speaker_type_first,False,At least one but must not be all.,False,More than half but must not be all.,False,False,"[""all""]",False,[3],0,Effective,Most,The treatment was effective for most patients.,60.0,,,Ineffective,No,The treatment was ineffective for no patients.,0.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,Ineffective,No,The treatment was ineffective for no patients.,0.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,5,True,True,100.0,,100.0,helpfulness,False,,For all 100% for none 0% so pretty east to match ,Thanks tor the invite 
1.0.0,2026-02-01T10:12:31.070Z,completed,2026-02-01T10:20:34.463Z,False,,483390,8.0565,,,pers_minus,credulous,2.0,effectiveness_first,True,At least one and could be all.,False,More than half but must not be all.,True,True,"[""all"",""some""]",True,"[0,2]",4,Ineffective,Most,The treatment was ineffective for most patients.,20.0,,,Effective,Some,The treatment was effective for some patients.,20.0,,,Ineffective,Some,The treatment was ineffective for some patients.,70.0,,,Effective,Some,The treatment was effective for some patients.,20.0,,,Ineffective,Some,The treatment was ineffective for some patients.,70.0,,,5,True,True,100.0,,50.0,helpfulness,False,,,"No further comments or feedback, thank you though!"
